INSTNM,CITY,STABBR,ZIP,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,NPT4_PUB,NPT4_PRIV,TUITIONFEE_PROG,PCTPELL,PCTFLOAN,DEBT_MDN,GRAD_DEBT_MDN_SUPP,ADM_RATE,SAT_AVG,AVGFACSAL,UGDS,C150_4,RET_FT4,CDR3,MD_EARN_WNE_P10
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,1,11954.0,28631.0,34328.0,20015.0,,,0.2565,0.2956,12956,20500,0.74,1248.0,11234.0,29207.0,0.7096,0.8401,0.0,61251.0
Louisiana State University-Eunice,Eunice,LA,70535,1,4730.0,10094.0,16541.0,9619.0,,,0.3882,0.3721,6989,14250,,,5716.0,2617.0,,,0.0,36498.0
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,1,7327.0,20481.0,19233.0,8130.0,,,0.3781,0.3164,15000,22500,0.8272,1119.0,9335.0,2150.0,0.3321,0.625,0.0,47477.0
Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,LA,70816-2246,3,,,,,20934.0,19500.0,0.5093,0.5435,9833,9833,,,,197.0,,,0.0,25903.0
Aveda Arts & Sciences Institute-Lafayette,Lafayette,LA,70503-3246,3,,,,,,19500.0,0.4224,0.4784,7411,7916,,,,134.0,,,0.0,23904.0
Louisiana Academy of Beauty,Eunice,LA,70535,3,,,,,20597.0,15200.0,0.3721,0.3256,5500,PS,,,,31.0,,,0.035,16539.0
Louisiana Christian University,Pineville,LA,71359,2,19740.0,19740.0,30564.0,,16874.0,,0.4075,0.595,11000,21875,0.8379,,6201.0,750.0,0.4128,0.6082,0.0,51700.0
Opelousas School of Cosmetology,Opelousas,LA,70570,3,,,,,16904.0,14500.0,0.7917,0.8333,6500,PS,,,,10.0,,,0.058,26459.0
Louisiana Tech University,Ruston,LA,71272,1,10125.0,16866.0,24405.0,12209.0,,,0.205,0.2865,15000,22135,0.7257,1190.0,8887.0,7819.0,0.5762,0.8399,0.0,52279.0
Loyola University New Orleans,New Orleans,LA,70118-6143,2,47240.0,47240.0,61837.0,,22762.0,,0.3721,0.5375,18500,26000,0.8772,,8882.0,2999.0,0.6742,0.7737,0.0,52927.0
McNeese State University,Lake Charles,LA,70605,1,8460.0,9960.0,21168.0,11257.0,,,0.3112,0.3091,13000,23000,0.6755,1080.0,7597.0,4846.0,0.5201,0.7075,0.0,46453.0
University of New Orleans,New Orleans,LA,70148,1,9172.0,14008.0,22605.0,11147.0,,,0.4044,0.2819,11000,18750,0.6677,1056.0,9144.0,4479.0,0.4251,0.7021,0.0,47872.0
New Orleans Baptist Theological Seminary,New Orleans,LA,70126,2,11540.0,11540.0,,,,,0.0,0.0,PS,PS,,,6457.0,770.0,0.4074,0.8125,0.0,
Nicholls State University,Thibodaux,LA,70310,1,8173.0,9266.0,21519.0,12091.0,,,0.3498,0.4306,13156,22675,0.9602,1088.0,6985.0,4772.0,0.5429,0.7664,0.0,45454.0
University of Louisiana at Monroe,Monroe,LA,71209-0000,1,9190.0,21290.0,23552.0,11633.0,,,0.3341,0.3474,15000,21500,0.7456,1102.0,7998.0,4891.0,0.506,0.7227,0.0,46769.0
Northwest Louisiana Technical Community College,Minden,LA,71055-0000,1,4109.0,4109.0,17202.0,9847.0,,,0.499,0.0,PS,PS,,,4989.0,837.0,,,,32503.0
Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,1,8864.0,19652.0,24496.0,13809.0,,,0.3488,0.3668,15000,25000,0.9374,1090.0,7186.0,5840.0,0.4463,0.7042,0.0,47021.0
University of Holy Cross,New Orleans,LA,70131-7399,2,16160.0,16160.0,28380.0,,16780.0,,0.2842,0.3579,19500,26995,0.9901,,7700.0,405.0,0.3582,0.6905,0.0,49316.0
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,2,15690.0,15690.0,27314.0,,17797.0,,0.3575,0.4853,16669,27672,0.8294,,8005.0,826.0,0.5132,0.6,0.0,59419.0
Pat Goins Beauty Schools formerly Paul Mitchell the School-Shreveport,Shreveport,LA,71105,3,,,,,14808.0,20520.0,0.5175,0.4474,5500,6333,,,,102.0,,,,20239.0
Celebrity Stylist Beauty School,Monroe,LA,71201-5135,3,,,,,14290.0,18700.0,0.5161,0.4516,6333,PS,,,,45.0,,,0.0,22002.0
Pineville Beauty School,Pineville,LA,71360-0000,3,,,,,12923.0,14250.0,0.6034,0.0,PS,PS,,,,45.0,,,,19411.0
Aveda Arts & Sciences Institute-Covington,Covington,LA,70433,3,,,,,23626.0,20500.0,0.4714,0.5023,7917,7917,,,,2538.0,,,0.0,30334.0
Saint Joseph Seminary College,St. Benedict,LA,70457,2,26770.0,26770.0,43395.0,,39513.0,,0.0748,0.028,PS,PS,,,3688.0,91.0,0.4,0.875,0.0,38366.0
LaSalle Tech,Houma,LA,70363,3,,,,,10463.0,11300.0,0.7657,0.7929,5853,6333,,,,159.0,,,0.0,20975.0
Fletcher Technical Community College,Schriever,LA,70395,1,4219.0,4219.0,16674.0,10689.0,,,0.5769,0.3517,7500,10064,,,5902.0,1999.0,,,0.0,32189.0
Remington College-Lafayette Campus,Lafayette,LA,70503,2,22355.0,22355.0,35344.0,,28875.0,,0.9667,0.9074,9500,13271,,,5160.0,247.0,,,0.0,31349.0
SOWELA Technical Community College,Lake Charles,LA,70615,1,4265.0,4265.0,16402.0,8861.0,,,0.4177,0.0,4250,PS,,,6043.0,2979.0,,,0.021,32303.0
Stevensons Academy of Hair Design,New Orleans,LA,70114,3,,,,,3715.0,14175.0,0.5111,0.0,PS,PS,,,,106.0,,,,23853.0
Southeastern Louisiana University,Hammond,LA,70402,1,8373.0,20851.0,22647.0,12174.0,,,0.33,0.3437,11077,22113,0.9428,1090.0,7364.0,9514.0,0.448,0.7624,0.0,46482.0
Southern University and A & M College,Baton Rouge,LA,70813,1,9940.0,17198.0,26076.0,19740.0,,,0.6458,0.701,15455,29251,0.4987,938.0,7535.0,5323.0,0.2845,0.6035,0.0,43371.0
Southern University at New Orleans,New Orleans,LA,70126,1,7490.0,16390.0,20893.0,15260.0,,,0.4458,0.378,19500,31000,0.6021,910.0,7041.0,1095.0,0.1786,0.4839,0.0,34042.0
Southern University at Shreveport,Shreveport,LA,71107,1,4958.0,4958.0,18188.0,12890.0,,,0.5101,0.578,7500,18500,,,6147.0,1974.0,,,0.0,33099.0
University of Louisiana at Lafayette,Lafayette,LA,70503,1,10418.0,24146.0,24631.0,14118.0,,,0.3877,0.4359,14991,22902,0.8883,1219.0,8915.0,12269.0,0.52,0.7601,0.0,47089.0
Northshore Technical Community College,Lacombe,LA,70445,1,4203.0,4203.0,15772.0,9942.0,,,0.2188,0.1506,7772,12000,,,5456.0,2156.0,,,0.0,29734.0
Tulane University of Louisiana,New Orleans,LA,70118-5698,2,65538.0,65538.0,83761.0,,43939.0,,0.0928,0.2092,19250,20500,0.1459,1443.0,12908.0,7759.0,0.8891,0.9441,0.0,63268.0
Xavier University of Louisiana,New Orleans,LA,70125-1098,2,27868.0,27868.0,39183.0,,18285.0,,0.5171,0.5464,14000,24053,0.7448,1077.0,9727.0,2534.0,0.5021,0.7078,0.0,52184.0
College of the Atlantic,Bar Harbor,ME,04609,2,46179.0,46179.0,56334.0,,24028.0,,0.2653,0.4987,17723,25050,0.6502,,8972.0,358.0,0.6923,0.8316,0.0,40264.0
Bates College,Lewiston,ME,04240,2,63478.0,63478.0,80440.0,,30703.0,,0.1022,0.1503,12442,14275,0.1302,1446.0,11817.0,1753.0,0.9059,0.9402,0.0,69498.0
Beal University,Bangor,ME,04401,3,,,,,33857.0,42305.0,0.6365,0.7835,11261,19500,,,5280.0,503.0,0.3415,0.5,0.0,35639.0
Bowdoin College,Brunswick,ME,04011,2,64910.0,64910.0,80390.0,,20786.0,,0.1614,0.1023,12000,18500,0.0802,1514.0,14059.0,1846.0,0.956,0.9763,0.0,82735.0
Maine College of Health Professions,Lewiston,ME,04240,2,17827.0,17827.0,20438.0,,20438.0,,0.5148,0.8776,12000,15250,0.3333,910.0,6117.0,228.0,0.8333,,0.0,79840.0
Central Maine Community College,Auburn,ME,04210-6498,1,3864.0,6744.0,15160.0,7489.0,,,0.3386,0.168,6568,12000,,,6844.0,2828.0,,,0.0,42448.0
Colby College,Waterville,ME,04901-8840,2,66600.0,66600.0,81550.0,,23939.0,,0.1318,0.087,15000,19157,0.0683,1500.0,12602.0,2282.0,0.9022,0.9064,0.0,80490.0
Eastern Maine Community College,Bangor,ME,04401,1,3877.0,6667.0,17184.0,8036.0,,,0.2803,0.146,7833,11293,,,7281.0,1692.0,,,0.0,41704.0
Kennebec Valley Community College,Fairfield,ME,04937-1367,1,3562.0,6442.0,13978.0,6994.0,,,0.3096,0.1491,9500,13255,,,6860.0,1538.0,,,0.0,36035.0
The Landing School,Arundel,ME,04046,2,27700.0,27700.0,31362.0,,24342.0,,0.2,0.4444,7500,PS,,,7183.0,43.0,,,0.0,65849.0
University of Maine at Augusta,Augusta,ME,04330-9410,1,8618.0,21548.0,18813.0,11353.0,,,0.3196,0.2847,13215,22734,,,7870.0,2759.0,0.2328,0.6265,0.0,40342.0
University of Maine at Farmington,Farmington,ME,04938-9978,1,10989.0,23079.0,24103.0,14873.0,,,0.3248,0.448,16722,24499,0.9763,1040.0,8306.0,1131.0,0.5275,0.7871,0.0,44433.0
University of Maine at Fort Kent,Fort Kent,ME,04743-1292,1,9045.0,14325.0,18532.0,10865.0,,,0.139,0.2085,12778,20160,0.9907,,7831.0,638.0,0.3984,0.6531,0.0,51077.0
University of Maine,Orono,ME,04469,1,12606.0,35346.0,26418.0,18045.0,,,0.2196,0.4284,16750,25000,0.9571,,11151.0,8341.0,0.5643,0.7701,0.0,48653.0
Maine Maritime Academy,Castine,ME,04420-0001,1,14746.0,30226.0,30166.0,21185.0,,,0.2472,0.6595,26812,27000,0.614,1185.0,,888.0,0.6141,0.8203,0.0,89964.0
University of Maine at Presque Isle,Presque Isle,ME,04769-2888,1,8990.0,14270.0,18663.0,10028.0,,,0.2559,0.2537,8275,16000,0.9709,,7805.0,1362.0,0.3766,0.7282,0.0,40956.0
University of New England,Biddeford,ME,04005-9599,2,42550.0,42550.0,60706.0,,37109.0,,0.1189,0.5315,20000,25250,0.8884,,9082.0,2189.0,0.6083,0.7462,0.0,55921.0
Northern Maine Community College,Presque Isle,ME,04769-2016,1,3880.0,6760.0,15581.0,8416.0,,,0.4189,0.1188,8225,10825,,,7175.0,577.0,,,0.0,43348.0
Empire Beauty School-Maine,Portland,ME,04101,3,,,,,16411.0,17625.0,0.3598,0.4486,7667,13000,,,,118.0,,,0.0,23925.0
Maine College of Art & Design,Portland,ME,04101-3494,2,41398.0,41398.0,57027.0,,36443.0,,0.2658,0.7079,19000,27000,0.7755,,6915.0,415.0,0.4874,0.7789,0.0,40778.0
Saint Joseph's College of Maine,Standish,ME,04084-5263,2,42834.0,42834.0,58452.0,,24666.0,,0.201,0.597,19576,27000,0.8172,1030.0,6398.0,930.0,0.6855,0.801,0.0,59045.0
Spa Tech Institute-Westbrook,Westbrook,ME,04092,3,,,,,18283.0,11950.0,0.3408,0.4704,6333,6333,,,,261.0,,,0.0,27803.0
Southern Maine Community College,South Portland,ME,04106-1698,1,3797.0,6677.0,16400.0,11638.0,,,0.2454,0.1262,6046,10331,,,7890.0,5279.0,,,0.0,41661.0
University of Southern Maine,Portland,ME,04103,1,10920.0,27104.0,21381.0,11729.0,,,0.2628,0.3406,12887,19060,0.7931,1130.0,10710.0,4245.0,0.4634,0.7558,0.0,49958.0
Thomas College,Waterville,ME,04901-5097,2,30896.0,30896.0,43757.0,,19223.0,,0.1534,0.3395,20000,24250,0.9707,,7542.0,688.0,0.5136,0.7906,0.0,44991.0
Unity Environmental University,New Gloucester,ME,04260,2,12640.0,12640.0,20915.0,,18217.0,,0.5925,0.5157,4752,25000,0.818,,5404.0,5619.0,0.5698,0.4203,0.0,37852.0
Washington County Community College,Calais,ME,04619,1,3687.0,6567.0,13240.0,3994.0,,,0.4218,0.0693,5500,PS,,,6995.0,397.0,,,0.0,34407.0
Allegany College of Maryland,Cumberland,MD,21502-2596,1,4730.0,12050.0,16082.0,10107.0,,,0.3029,0.2979,8250,13702,,,6204.0,1743.0,,,0.0,38476.0
Anne Arundel Community College,Arnold,MD,21012-1895,1,4178.0,11330.0,20548.0,15929.0,,,0.1977,0.0774,6250,8250,,,8995.0,8570.0,,,0.0,46219.0
Award Beauty School,Hagerstown,MD,21740-5610,3,,,,,20744.0,24000.0,0.3756,0.4162,7500,13000,,,,132.0,,,0.0,18172.0
Baltimore Studio of Hair Design,Baltimore,MD,21201-3444,3,,,,,17001.0,19650.0,0.9773,1.0,5500,PS,,,,39.0,,,0.0,20080.0
Baltimore City Community College,Baltimore,MD,21215-7893,1,3314.0,7394.0,15745.0,9769.0,,,0.4059,0.0,PS,PS,,,9519.0,3234.0,,,,36025.0
University of Baltimore,Baltimore,MD,21201-5720,1,9772.0,23490.0,27477.0,17546.0,,,0.4317,0.3996,18972,23250,0.8555,1060.0,13190.0,1276.0,0.4673,0.6538,0.0,61335.0
Bowie State University,Bowie,MD,20715-9465,1,8999.0,19889.0,24302.0,19335.0,,,0.439,0.4087,12861,22985,0.8354,935.0,10830.0,5207.0,0.3814,0.6991,0.0,54537.0
Capitol Technology University,Laurel,MD,20708,2,27318.0,27318.0,40900.0,,24678.0,,0.3523,0.6611,12000,20264,0.7794,,5193.0,259.0,0.4667,0.7317,0.0,85035.0
Cecil College,North East,MD,21901-1900,1,5370.0,9960.0,15109.0,10097.0,,,0.2578,0.079,8250,9536,,,7637.0,1369.0,,,0.0,43952.0
College of Southern Maryland,La Plata,MD,20646-0910,1,4200.0,9450.0,13570.0,9867.0,,,0.2473,0.4562,5500,8500,,,8621.0,4422.0,,,0.0,44435.0
Chesapeake College,Wye Mills,MD,21679-0008,1,4010.0,8504.0,10090.0,4178.0,,,0.2664,0.0,PS,PS,,,7956.0,1275.0,,,,36301.0
Washington Adventist University,Takoma Park,MD,20912,2,25200.0,25200.0,34570.0,,15026.0,,0.4605,0.5412,22750,30500,0.4536,920.0,6032.0,522.0,0.4,0.8214,0.0,64249.0
Coppin State University,Baltimore,MD,21216-3698,1,7001.0,13789.0,20152.0,6007.0,,,0.5304,0.4183,15606,25000,0.4956,,9486.0,1756.0,0.2559,0.7349,0.0,46490.0
Del-Mar-Va Beauty Academy,Salisbury,MD,21804-6952,3,,,,,25617.0,18825.0,0.7465,0.5352,9833,16500,,,,43.0,,,0.023,25426.0
North American Trade Schools,Baltimore,MD,21244,3,,,,,11812.0,18500.0,0.3601,0.8906,3668,7338,,,,529.0,,,0.0,39756.0
Frederick Community College,Frederick,MD,21702-2964,1,3772.0,9844.0,8886.0,2801.0,,,0.1759,0.0755,5500,8150,,,7917.0,4116.0,,,0.0,46449.0
Frostburg State University,Frostburg,MD,21532-1099,1,9998.0,25180.0,26500.0,15323.0,,,0.3285,0.3779,14867,21105,0.8944,,8848.0,2849.0,0.5207,0.6613,0.0,55493.0
Garrett College,McHenry,MD,21541,1,4060.0,11368.0,11688.0,6396.0,,,0.3057,0.3109,6560,10750,,,7559.0,424.0,,,0.0,35823.0
Goucher College,Baltimore,MD,21204-2794,2,51250.0,51250.0,68893.0,,23774.0,,0.3123,0.5115,17882,26000,0.729,1225.0,8122.0,948.0,0.6,0.7658,0.0,53023.0
Hagerstown Community College,Hagerstown,MD,21742-6514,1,4320.0,8190.0,11798.0,7672.0,,,0.3045,0.2215,6500,11000,,,7337.0,2783.0,,,0.0,41615.0
Harford Community College,Bel Air,MD,21015-1698,1,3974.0,8630.0,14290.0,9953.0,,,0.2244,0.0717,7241,9812,,,7291.0,3628.0,,,0.0,44608.0
Hood College,Frederick,MD,21701,2,45870.0,45870.0,59174.0,,23707.0,,0.3627,0.6373,18185,25000,0.7813,,8181.0,1202.0,0.5529,0.8027,0.0,57089.0
Howard Community College,Columbia,MD,21044-3197,1,4080.0,8976.0,15645.0,10225.0,,,0.2815,0.0792,8250,10500,,,8810.0,6779.0,,,0.0,49020.0
Aveda Institute-Maryland,Bel Air,MD,21014-3639,3,,,,,12253.0,11950.0,0.5422,0.5482,6333,6333,,,,84.0,,,0.0,21250.0
Johns Hopkins University,Baltimore,MD,21218-2688,2,63340.0,63340.0,81300.0,,18161.0,,0.1976,0.1145,9000,10250,0.0756,1553.0,18373.0,5617.0,0.9463,0.9786,0.0,87555.0
Lincoln College of Technology-Columbia,Columbia,MD,21046,3,,,,,29997.0,33654.0,0.5253,0.6632,9500,11250,,,5182.0,1075.0,,,0.0,38683.0
Loyola University Maryland,Baltimore,MD,21210-2699,2,55480.0,55480.0,71606.0,,29633.0,,0.177,0.5271,23882,27000,0.7633,1292.0,9511.0,3975.0,0.8049,0.8589,0.0,82652.0
University of Maryland Global Campus,Adelphi,MD,20783-8010,1,7992.0,12336.0,19790.0,14514.0,,,0.2844,0.1757,10500,21000,,,9194.0,48238.0,0.2958,0.528,0.0,65287.0
University of Maryland Baltimore,Baltimore,MD,21201-1627,1,,,,,,,0.2534,0.3977,15000,15000,,,13767.0,959.0,,,0.0,88174.0
University of Maryland-Baltimore County,Baltimore,MD,21250,1,12952.0,30308.0,27935.0,18328.0,,,0.296,0.2915,15750,19500,0.7424,1299.0,12619.0,10434.0,0.7055,0.8714,0.0,69960.0
University of Maryland-College Park,College Park,MD,20742,1,11505.0,40306.0,28073.0,15590.0,,,0.1859,0.2269,17000,19000,0.4484,1463.0,16391.0,30246.0,0.8862,0.9566,0.0,82860.0
Maryland Institute College of Art,Baltimore,MD,21217-4134,2,55150.0,55150.0,71366.0,,38429.0,,0.2081,0.402,16250,26500,0.7729,1207.0,9575.0,1319.0,0.7133,0.8502,0.0,45212.0
University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,1,8898.0,19728.0,27799.0,14035.0,,,0.5261,0.5184,18500,27000,0.9036,,10559.0,2165.0,0.3464,0.6626,0.0,47697.0
Fortis Institute-Towson,Towson,MD,21204-9840,3,,,,,25346.0,16779.0,0.8107,0.7293,9500,12547,,,,373.0,,,0.0,36368.0
Montgomery Beauty School,Silver Spring,MD,20901,3,,,,,20589.0,24000.0,0.5124,0.5785,7667,11845,,,,68.0,,,0.0,18726.0
Montgomery College,Rockville,MD,20850,1,5394.0,14250.0,14410.0,7240.0,,,0.2512,0.0565,7000,10415,,,9083.0,13519.0,,,0.0,50159.0
Morgan State University,Baltimore,MD,21251-0001,1,8118.0,18800.0,24778.0,15015.0,,,0.5445,0.6533,19500,27250,0.8296,984.0,11055.0,8293.0,0.4161,0.7082,0.0,50698.0
Mount St. Mary's University,Emmitsburg,MD,21727-7799,2,47240.0,47240.0,62078.0,,24987.0,,0.269,0.5965,15000,25391,0.7186,1141.0,8100.0,1806.0,0.5802,0.7083,0.0,64072.0
Ner Israel Rabbinical College,Baltimore,MD,21208,2,14400.0,14400.0,25650.0,,5548.0,,0.2073,0.0,PS,PS,0.7941,,7528.0,292.0,0.439,0.9474,,66330.0
Hair Academy,New Carrollton,MD,20784,3,,,,,20049.0,21620.0,0.2661,0.2844,6333,13000,,,,241.0,,,0.0,20953.0
Notre Dame of Maryland University,Baltimore,MD,21210-2476,2,41910.0,41910.0,60362.0,,24536.0,,0.3227,0.7742,17990,22666,0.8649,,7926.0,684.0,0.5195,0.7679,0.0,65344.0
Prince George's Community College,Largo,MD,20774-2199,1,3914.0,8642.0,16107.0,10857.0,,,0.319,0.1364,6000,10500,,,8414.0,8049.0,,,0.0,47548.0
Maryland Beauty Academy of Essex,Baltimore,MD,21224,3,,,,,16484.0,19650.0,0.6774,0.4516,5713,8500,,,,36.0,,,0.014,20445.0
Salisbury University,Salisbury,MD,21801-6862,1,10638.0,21332.0,26134.0,16456.0,,,0.2405,0.3962,15750,21000,0.8863,1250.0,10145.0,6056.0,0.6745,0.8031,0.0,61515.0
St. Mary's College of Maryland,St. Mary's City,MD,20686,1,15236.0,31312.0,31319.0,18362.0,,,0.2017,0.4222,17000,21000,0.7539,1232.0,8799.0,1566.0,0.6804,0.8137,0.0,60110.0
St. John's College,Annapolis,MD,21401,2,39126.0,39126.0,52683.0,,27934.0,,0.2208,0.4935,19500,27000,0.4429,1381.0,8988.0,488.0,0.6741,0.8846,0.0,51584.0
Towson University,Towson,MD,21252-0001,1,11306.0,28326.0,26621.0,16791.0,,,0.3346,0.4312,15362,18718,0.828,1166.0,9513.0,16400.0,0.6762,0.8321,0.0,64390.0
Maryland University of Integrative Health,Laurel,MD,20723,2,,,,,,,,,PS,PS,,,5428.0,,,,0.0,
United States Naval Academy,Annapolis,MD,21402-1300,1,,,,,,,,,,,0.0936,1308.0,13901.0,4465.0,0.9185,0.9614,,
Stevenson University,Owings Mills,MD,21117,2,39708.0,39708.0,57322.0,,26806.0,,0.2894,0.47,21500,26000,0.832,,8699.0,3027.0,0.6642,0.7779,0.0,62079.0
Washington College,Chestertown,MD,21620-1438,2,54356.0,54356.0,70191.0,,29095.0,,0.2052,0.5016,21000,26956,0.6554,1274.0,6433.0,890.0,0.7411,0.8658,0.0,65518.0
McDaniel College,Westminster,MD,21157,2,49647.0,49647.0,62974.0,,20923.0,,0.3381,0.6127,15000,25000,0.8358,,8097.0,1652.0,0.6376,0.7888,0.0,60663.0
Wor-Wic Community College,Salisbury,MD,21804-7131,1,3744.0,8400.0,12199.0,6573.0,,,0.4069,0.137,3500,7828,,,7223.0,2047.0,,,0.0,36748.0
Hult International Business School,Cambridge,MA,02141,2,54890.0,54890.0,74875.0,,42402.0,,0.0836,0.085,11000,PS,0.5335,,10825.0,694.0,0.6582,0.7278,0.0,
American International College,Springfield,MA,01109,2,42970.0,42970.0,55463.0,,25299.0,,0.5004,0.8055,21063,27000,0.969,,7944.0,1097.0,0.4228,0.6778,0.0,53124.0
Amherst College,Amherst,MA,01002-5000,2,67280.0,67280.0,83650.0,,18246.0,,0.216,0.0875,12000,13740,0.0982,1494.0,14540.0,1907.0,0.9342,0.9679,0.0,77644.0
Anna Maria College,Paxton,MA,01612-1198,2,43064.0,43064.0,61106.0,,29396.0,,0.3424,0.6324,17500,25000,0.8956,,7192.0,948.0,0.4044,0.6169,0.0,46651.0
Assabet Valley Regional Technical School,Marlborough,MA,01752,1,,,,36348.0,,18945.0,0.3519,0.537,9500,9500,0.3333,,,48.0,,,0.0,
Assumption University,Worcester,MA,01609-1296,2,49414.0,49414.0,61777.0,,28853.0,,0.1937,0.8421,24250,27000,0.8654,,9542.0,1664.0,0.7459,0.8347,0.0,74895.0
Babson College,Wellesley,MA,02457-0310,2,56032.0,56032.0,77248.0,,38876.0,,0.1423,0.2601,19000,20000,0.1974,1435.0,19491.0,2696.0,0.9236,0.9421,0.0,123938.0
Bancroft School of Massage Therapy,Worcester,MA,01604,3,,,,,,,0.2667,0.5111,7600,PS,,,,51.0,,,0.0,
Boston Baptist College,Boston,MA,02136-4030,2,14304.0,14304.0,26691.0,,16321.0,,0.575,0.4,PS,PS,1.0,,2333.0,31.0,0.4444,0.8,0.0,34159.0
Bay Path University,Longmeadow,MA,01106,2,37227.0,37227.0,47064.0,,14590.0,,0.6616,0.8395,19100,24901,0.735,,9298.0,1186.0,0.5694,0.6906,0.0,55383.0
Bentley University,Waltham,MA,02452-4705,2,58150.0,58150.0,77082.0,,38787.0,,0.1508,0.4268,24007,25023,0.4844,1340.0,15685.0,4288.0,0.8821,0.929,0.0,120959.0
Berklee College of Music,Boston,MA,02215,2,50270.0,50270.0,69874.0,,50404.0,,0.1536,0.326,15750,25000,0.4991,,10565.0,7510.0,0.6635,0.8544,0.0,33647.0
Berkshire Community College,Pittsfield,MA,01201-5786,1,5612.0,11228.0,17544.0,8177.0,,,0.3607,0.2583,8250,12053,,,7754.0,1100.0,,,0.0,38832.0
Boston Architectural College,Boston,MA,02115-2703,2,26800.0,26800.0,47152.0,,37891.0,,0.202,0.2896,24750,37250,,,6788.0,269.0,0.3846,0.6111,0.0,62123.0
Boston Graduate School of Psychoanalysis Inc,Brookline,MA,02446,2,,,,,,,,,PS,PS,,,4315.0,,,,0.0,
Boston College,Chestnut Hill,MA,02467,2,67680.0,67680.0,83683.0,,39866.0,,0.1273,0.3199,17962,19000,0.1565,1501.0,17441.0,9865.0,0.9099,0.9537,0.0,103937.0
Boston University,Boston,MA,02215,2,65168.0,65168.0,82694.0,,26996.0,,0.1797,0.2261,21500,23250,0.1085,1473.0,16124.0,17850.0,0.8997,0.9451,0.0,83238.0
Brandeis University,Waltham,MA,02454-9110,2,64946.0,64946.0,82123.0,,33885.0,,0.144,0.2834,23250,25648,0.3531,1473.0,14477.0,3663.0,0.8611,0.9026,0.0,77231.0
Bridgewater State University,Bridgewater,MA,02325,1,11389.0,17529.0,25164.0,17970.0,,,0.3031,0.7135,18746,24286,0.8919,1127.0,10418.0,7899.0,0.5461,0.7687,0.0,57466.0
Bristol Community College,Fall River,MA,02720-7395,1,5412.0,10356.0,11846.0,6235.0,,,0.4335,0.3059,5250,8243,,,6969.0,5073.0,,,0.0,38663.0
Signature Healthcare Brockton Hospital School of Nursing,Brockton,MA,02302-1905,2,,,,,25162.0,54075.0,0.3707,0.5431,15555,20000,0.5217,,,152.0,,,0.0,88084.0
Bunker Hill Community College,Boston,MA,02129-2925,1,5520.0,10464.0,14699.0,6313.0,,,0.3815,0.0665,5500,10500,,,8137.0,7322.0,,,0.0,47618.0
Cambridge College,Boston,MA,02129,2,18072.0,18072.0,,,,,0.331,0.4393,14917,21791,,,8831.0,591.0,0.125,,0.0,45998.0
Cape Cod Community College,West Barnstable,MA,02668-1599,1,5712.0,10656.0,14356.0,8403.0,,,0.3142,0.0938,6443,12000,,,7670.0,2223.0,,,0.0,43670.0
Catherine Hinds Institute of Esthetics,Woburn,MA,01801-6819,3,,,,,19272.0,14125.0,0.4847,0.729,5500,6233,,,,163.0,,,0.0,
Laboure College of Healthcare,Milton,MA,02186,2,33663.0,33663.0,,,,,0.3664,0.3399,15998,25250,0.4054,,7514.0,717.0,,,0.0,62200.0
Clark University,Worcester,MA,01610-1477,2,55160.0,55160.0,64426.0,,27711.0,,0.2126,0.5776,22141,26759,0.4167,1339.0,12160.0,2336.0,0.7712,0.8791,0.0,62381.0
Conway School of Landscape Design,Northampton,MA,01060,2,,,,,,,,,,,,,5205.0,,,,0.0,
Curry College,Milton,MA,02186-2395,2,46220.0,46220.0,61556.0,,29504.0,,0.2831,0.7119,18320,25000,0.9205,1130.0,10852.0,1757.0,0.4825,0.6756,0.0,54400.0
Dean College,Franklin,MA,02038-1941,2,44960.0,44960.0,62802.0,,30236.0,,0.296,0.7115,12000,25000,0.7371,,7352.0,1142.0,0.4317,0.7555,0.0,38109.0
Diman Regional Technical Institute,Fall River,MA,02720,1,,,,20861.0,,17518.0,0.5909,0.9091,5745,PS,0.6364,,,56.0,,,0.0,
National Aviation Academy of New England,Concord,MA,01742,3,,,,,32825.0,39900.0,0.5147,0.7915,14750,21198,,,,210.0,,,0.0,59009.0
Eastern Nazarene College,Quincy,MA,02170-2999,2,28610.0,28610.0,41948.0,,17733.0,,0.3496,0.5844,19500,26000,0.5896,1035.0,6525.0,378.0,0.3529,0.6164,0.0,54727.0
Emerson College,Boston,MA,02116-4624,2,55392.0,55392.0,77153.0,,46766.0,,0.1499,0.4662,19000,23000,0.4748,1359.0,10655.0,4145.0,0.7927,0.8782,0.0,62832.0
Emmanuel College,Boston,MA,02115,2,46686.0,46686.0,63864.0,,31569.0,,0.2034,0.6174,22969,27000,0.806,1263.0,10316.0,1874.0,0.6582,0.7905,0.0,68245.0
Endicott College,Beverly,MA,01915,2,39212.0,39212.0,57533.0,,39324.0,,0.1313,0.6464,23250,27000,0.7229,1263.0,11198.0,3101.0,0.7543,0.8764,0.0,58336.0
